cue_image,image_text,stop_voice_flag,corr_resp,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,image_introduction.started,key_resp_intro.started,key_resp_intro.keys,key_resp_intro.rt,image.started,text.started,key_resp_training.started,key_resp_training.keys,key_resp_training.rt,Accuracy,feedback_text_component.started,plus_image.started,stop_voice_audio.started,image.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.496196100022644,21.496196100022644,right,21.94023730000481,,,,,,,,,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/circle,right,0,right,0,0,0,0,,,,,43.6739654999983,43.6739654999983,43.6739654999983,right,0.8096402999944985,1,44.52267679999932,45.527736500022,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/square,No,1,None,0,1,1,3,,,,,46.66698070001439,46.66698070001439,46.66698070001439,None,,1,48.69882030002191,49.69331729999976,46.66351630000863,47.68014530002256,47.68014530002256,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/circle,right,0,right,0,2,2,6,,,,,50.72839699999895,50.72839699999895,50.72839699999895,right,0.6186715000076219,1,51.38201920001302,52.38039100001333,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/circle,right,0,right,0,3,3,4,,,,,53.424134500004584,53.424134500004584,53.424134500004584,left,0.8566415999957826,0,54.33364980001352,55.321708600007696,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/circle,No,1,None,0,4,4,2,,,,,56.36368619999848,56.36368619999848,56.36368619999848,None,,1,58.38396110001486,59.38296519999858,56.35548553334277,57.37688140000682,57.37688140000682,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/square,left,0,left,0,5,5,5,,,,,60.41869079999742,60.41869079999742,60.41869079999742,left,0.8543551999900956,1,61.30263250001008,62.30108920001658,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/square,left,0,left,0,6,6,7,,,,,63.34368910000194,63.34368910000194,63.34368910000194,None,,0,65.37740740002482,66.3845338000101,,64.35059860002366,64.35059860002366,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/square,left,0,left,0,7,7,1,,,,,67.4303676999989,67.4303676999989,67.4303676999989,None,,0,69.46275390000665,70.46064560001832,,68.42956469999626,68.42956469999626,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/circle,right,0,right,1,0,8,4,,,,,71.50710680001066,71.50710680001066,71.50710680001066,None,,0,73.53323170001386,74.53903040001751,,72.52393760002451,72.52393760002451,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/circle,No,1,None,1,1,9,2,,,,,75.59138980001444,75.59138980001444,75.59138980001444,None,,1,77.62762390001444,78.63304549999884,75.58915130000678,76.58785760001047,76.58785760001047,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/square,left,0,left,1,2,10,5,,,,,79.66647970001213,79.66647970001213,79.66647970001213,None,,0,81.69222610001452,82.70238570001675,,80.66739149999921,80.66739149999921,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/square,left,0,left,1,3,11,7,,,,,83.73057700000936,83.73057700000936,83.73057700000936,left,0.701803200005088,1,84.4809668000089,85.48226400002022,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/square,left,0,left,1,4,12,1,,,,,86.52702780000982,86.52702780000982,86.52702780000982,left,0.7244041000085417,1,87.30243730000802,88.29357660000096,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/square,No,1,None,1,5,13,3,,,,,89.33754520001821,89.33754520001821,89.33754520001821,None,,1,91.35644730000058,92.35581870001624,89.34261070000939,90.35770150000462,90.35770150000462,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/circle,right,0,right,1,6,14,0,,,,,93.38831090001622,93.38831090001622,93.38831090001622,right,0.6342330000188667,1,94.0682652000105,95.05361660002382,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
images/circle,right,0,right,1,7,15,6,,,,,96.10643990000244,96.10643990000244,96.10643990000244,right,0.9120187000080477,1,97.04650900000706,98.04973379999865,,,,687748,001,2023-08-29_12h52.52.333,GoNoGo,2022.2.5,None,
,,,,,,,,,,,,99.08650070001022,99.08650070001022,99.08650070001022,,,,,,,100.08193700000993,100.08193700000993,,,,,,,
